2025-11-14T18:23:06.711880+00:00	0	43.88
2025-11-14T18:23:06.720010+00:00	0	42.84
2025-11-14T18:23:06.732056+00:00	1	42.05
2025-11-14T18:23:06.740385+00:00	-4	42.00
2025-11-14T18:23:06.748494+00:00	4	41.81
2025-11-14T18:23:06.760770+00:00	-4	41.55
2025-11-14T18:23:06.768948+00:00	0	40.09
2025-11-14T18:23:06.781204+00:00	-2	38.88
2025-11-14T18:23:06.789410+00:00	-8	36.35
2025-11-14T18:23:06.801626+00:00	6	34.25
2025-11-14T18:23:06.809944+00:00	-11	31.79
2025-11-14T18:23:06.822138+00:00	9	29.95
2025-11-14T18:23:06.830447+00:00	-3	28.23
2025-11-14T18:23:06.842618+00:00	-6	26.33
2025-11-14T18:23:06.850880+00:00	10	25.29
2025-11-14T18:23:06.863282+00:00	-13	24.02
2025-11-14T18:23:06.871667+00:00	3	23.56
2025-11-14T18:23:06.883625+00:00	0	23.00
2025-11-14T18:23:06.891907+00:00	-3	22.92
2025-11-14T18:23:06.900396+00:00	7	22.89
2025-11-14T18:23:06.912385+00:00	-5	22.90
2025-11-14T18:23:06.920574+00:00	2	22.83
2025-11-14T18:23:06.932807+00:00	1	22.80
2025-11-14T18:23:06.941101+00:00	-5	22.44
2025-11-14T18:23:06.949269+00:00	6	22.19
2025-11-14T18:23:06.961515+00:00	-7	21.78
2025-11-14T18:23:06.969802+00:00	3	20.94
2025-11-14T18:23:06.981988+00:00	1	20.45
2025-11-14T18:23:06.990394+00:00	-6	19.40
2025-11-14T18:23:07.002493+00:00	12	18.45
2025-11-14T18:23:07.010940+00:00	-10	17.76
2025-11-14T18:23:07.023103+00:00	5	16.42
2025-11-14T18:23:07.031422+00:00	-1	15.57
2025-11-14T18:23:07.043392+00:00	-8	14.73
2025-11-14T18:23:07.051896+00:00	12	13.55
2025-11-14T18:23:07.064082+00:00	-8	13.03
2025-11-14T18:23:07.072307+00:00	6	12.17
2025-11-14T18:23:07.080624+00:00	3	11.47
2025-11-14T18:23:07.092756+00:00	-4	11.22
2025-11-14T18:23:07.101007+00:00	7	10.61
2025-11-14T18:23:07.113141+00:00	-6	10.44
2025-11-14T18:23:07.121556+00:00	5	10.30
2025-11-14T18:23:07.129786+00:00	1	10.12
2025-11-14T18:23:07.141899+00:00	-2	10.12
2025-11-14T18:23:07.150153+00:00	9	10.15
2025-11-14T18:23:07.162272+00:00	-9	10.19
2025-11-14T18:23:07.170511+00:00	5	10.09
2025-11-14T18:23:07.178690+00:00	-1	10.09
2025-11-14T18:23:07.191003+00:00	-5	10.08
2025-11-14T18:23:07.199319+00:00	6	9.92
2025-11-14T18:23:07.207834+00:00	-6	9.88
2025-11-14T18:23:07.216215+00:00	5	9.69
2025-11-14T18:23:07.227805+00:00	-3	9.57
2025-11-14T18:23:07.236164+00:00	1	9.38
2025-11-14T18:23:07.244342+00:00	0	8.99
2025-11-14T18:23:07.252629+00:00	-4	8.83
2025-11-14T18:23:07.260598+00:00	3	8.42
2025-11-14T18:23:07.268780+00:00	-4	8.33
2025-11-14T18:23:07.276886+00:00	2	8.03
2025-11-14T18:23:07.289139+00:00	-2	7.81
2025-11-14T18:23:07.297324+00:00	2	7.64
2025-11-14T18:23:07.305541+00:00	-2	7.32
2025-11-14T18:23:07.313844+00:00	-2	7.26
2025-11-14T18:23:07.321991+00:00	-1	6.88
2025-11-14T18:23:07.334489+00:00	1	6.85
2025-11-14T18:23:07.342523+00:00	2	6.55
2025-11-14T18:23:07.350746+00:00	-2	6.54
2025-11-14T18:23:07.359196+00:00	1	6.52
2025-11-14T18:23:07.367077+00:00	0	6.44
2025-11-14T18:23:07.375584+00:00	3	6.43
2025-11-14T18:23:07.383476+00:00	-3	6.18
2025-11-14T18:23:07.391654+00:00	2	6.13
2025-11-14T18:23:07.399824+00:00	3	6.14
2025-11-14T18:23:07.408024+00:00	5	6.12
2025-11-14T18:23:07.416150+00:00	0	6.00
2025-11-14T18:23:07.424598+00:00	1	6.00
2025-11-14T18:23:07.432642+00:00	3	6.01
2025-11-14T18:23:07.444818+00:00	-1	5.82
2025-11-14T18:23:07.453032+00:00	5	5.83
2025-11-14T18:23:07.461315+00:00	-3	5.81
2025-11-14T18:23:07.469603+00:00	1	5.59
2025-11-14T18:23:07.477628+00:00	-1	5.59
2025-11-14T18:23:07.489907+00:00	-2	5.59
2025-11-14T18:23:07.498106+00:00	-1	5.41
2025-11-14T18:23:07.506375+00:00	-3	5.42
2025-11-14T18:23:07.514527+00:00	0	5.41
2025-11-14T18:23:07.522929+00:00	-2	5.22
2025-11-14T18:23:07.531237+00:00	0	5.22
2025-11-14T18:23:07.543207+00:00	-2	5.23
2025-11-14T18:23:07.551585+00:00	-1	5.01
2025-11-14T18:23:07.559897+00:00	-2	5.00
2025-11-14T18:23:07.567886+00:00	0	4.99
2025-11-14T18:23:07.576012+00:00	5	4.94
2025-11-14T18:23:07.588367+00:00	-3	4.87
2025-11-14T18:23:07.596765+00:00	3	4.84
2025-11-14T18:23:07.604752+00:00	-1	4.81
2025-11-14T18:23:07.613080+00:00	1	4.73
2025-11-14T18:23:07.621343+00:00	0	4.71
2025-11-14T18:23:07.629451+00:00	0	4.70
2025-11-14T18:23:07.637826+00:00	3	4.71
2025-11-14T18:23:07.646181+00:00	-1	4.71
2025-11-14T18:23:07.654233+00:00	0	4.71
2025-11-14T18:23:07.666122+00:00	-2	4.71
2025-11-14T18:23:07.674264+00:00	0	4.69
2025-11-14T18:23:07.682465+00:00	-1	4.68
2025-11-14T18:23:07.690772+00:00	1	4.66
2025-11-14T18:23:07.698851+00:00	-2	4.67
2025-11-14T18:23:07.711214+00:00	-2	4.67
2025-11-14T18:23:07.719407+00:00	1	4.60
2025-11-14T18:23:07.727571+00:00	3	4.57
2025-11-14T18:23:07.736026+00:00	0	4.44
2025-11-14T18:23:07.743964+00:00	4	4.36
2025-11-14T18:23:07.752289+00:00	0	4.35
2025-11-14T18:23:07.760336+00:00	1	4.31
2025-11-14T18:23:07.768584+00:00	0	4.19
2025-11-14T18:23:07.776657+00:00	1	3.99
2025-11-14T18:23:07.784951+00:00	2	3.98
2025-11-14T18:23:07.793183+00:00	-3	3.99
2025-11-14T18:23:07.801601+00:00	3	3.99
2025-11-14T18:23:07.809744+00:00	-3	3.94
2025-11-14T18:23:07.818173+00:00	2	3.92
2025-11-14T18:23:07.830033+00:00	0	3.91
2025-11-14T18:23:07.838136+00:00	0	3.91
2025-11-14T18:23:07.846625+00:00	0	3.88
2025-11-14T18:23:07.854682+00:00	-1	3.83
2025-11-14T18:23:07.862907+00:00	-1	3.77
2025-11-14T18:23:07.871111+00:00	-3	3.77
2025-11-14T18:23:07.879462+00:00	4	3.79
2025-11-14T18:23:07.887427+00:00	0	3.74
2025-11-14T18:23:07.899607+00:00	-2	3.55
2025-11-14T18:23:07.907876+00:00	0	3.40
2025-11-14T18:23:07.916402+00:00	2	3.37
2025-11-14T18:23:07.924398+00:00	0	3.37
2025-11-14T18:23:07.932655+00:00	-1	3.28
2025-11-14T18:23:07.940889+00:00	-1	3.05
2025-11-14T18:23:07.949314+00:00	0	2.94
2025-11-14T18:23:07.957264+00:00	3	2.90
2025-11-14T18:23:07.969266+00:00	-3	2.90
2025-11-14T18:23:07.977357+00:00	0	2.87
2025-11-14T18:23:07.985599+00:00	1	2.79
2025-11-14T18:23:07.993882+00:00	2	2.73
2025-11-14T18:23:08.002098+00:00	-1	2.68
2025-11-14T18:23:08.010242+00:00	0	2.68
2025-11-14T18:23:08.018392+00:00	0	2.67
2025-11-14T18:23:08.026520+00:00	0	2.52
2025-11-14T18:23:08.034819+00:00	4	2.39
2025-11-14T18:23:08.042995+00:00	0	2.33
2025-11-14T18:23:08.051277+00:00	0	2.33
2025-11-14T18:23:08.059886+00:00	0	2.28
2025-11-14T18:23:08.067824+00:00	0	2.20
2025-11-14T18:23:08.079982+00:00	-2	2.12
2025-11-14T18:23:08.088004+00:00	1	2.06
2025-11-14T18:23:08.096309+00:00	-1	2.04
2025-11-14T18:23:08.104392+00:00	-1	2.04
2025-11-14T18:23:08.112680+00:00	0	2.04
2025-11-14T18:23:08.124922+00:00	-2	2.01
2025-11-14T18:23:08.133191+00:00	2	2.00
2025-11-14T18:23:08.141245+00:00	1	1.96
2025-11-14T18:23:08.149514+00:00	-1	1.96
2025-11-14T18:23:08.157716+00:00	-3	1.97
2025-11-14T18:23:08.165952+00:00	3	1.98
2025-11-14T18:23:08.174418+00:00	1	1.97
2025-11-14T18:23:08.186623+00:00	-4	2.00
2025-11-14T18:23:08.194692+00:00	0	2.00
2025-11-14T18:23:08.202885+00:00	0	2.00
2025-11-14T18:23:08.210971+00:00	2	2.00
2025-11-14T18:23:08.219153+00:00	1	1.99
2025-11-14T18:23:08.227616+00:00	2	2.00
2025-11-14T18:23:08.235892+00:00	-3	2.02
2025-11-14T18:23:08.243941+00:00	-4	2.04
2025-11-14T18:23:08.252075+00:00	2	2.03
2025-11-14T18:23:08.264151+00:00	-1	2.02
2025-11-14T18:23:08.272340+00:00	1	2.00
2025-11-14T18:23:08.280552+00:00	0	1.94
2025-11-14T18:23:08.288835+00:00	-1	1.94
2025-11-14T18:23:08.297024+00:00	1	1.94
2025-11-14T18:23:08.305126+00:00	1	1.92
2025-11-14T18:23:08.313480+00:00	0	1.92
2025-11-14T18:23:08.321545+00:00	0	1.85
2025-11-14T18:23:08.329732+00:00	-1	1.83
2025-11-14T18:23:08.342153+00:00	-1	1.83
2025-11-14T18:23:08.350480+00:00	0	1.82
2025-11-14T18:23:08.358662+00:00	1	1.82
2025-11-14T18:23:08.366572+00:00	1	1.82
2025-11-14T18:23:08.375180+00:00	0	1.79
2025-11-14T18:23:08.383074+00:00	0	1.79
2025-11-14T18:23:08.391232+00:00	0	1.78
2025-11-14T18:23:08.399422+00:00	1	1.78
2025-11-14T18:23:08.407892+00:00	2	1.78
2025-11-14T18:23:08.415831+00:00	-4	1.82
2025-11-14T18:23:08.423961+00:00	-3	1.84
2025-11-14T18:23:08.432263+00:00	2	1.85
2025-11-14T18:23:08.444779+00:00	-6	1.88
2025-11-14T18:23:08.452676+00:00	1	1.86
2025-11-14T18:23:08.461036+00:00	4	1.88
2025-11-14T18:23:08.469070+00:00	-3	1.90
2025-11-14T18:23:08.477605+00:00	-1	1.90
2025-11-14T18:23:08.485687+00:00	0	1.90
2025-11-14T18:23:08.493997+00:00	2	1.91
2025-11-14T18:23:08.505952+00:00	-2	1.89
2025-11-14T18:23:08.514158+00:00	0	1.89
2025-11-14T18:23:08.522382+00:00	0	1.89
2025-11-14T18:23:08.530517+00:00	1	1.88
2025-11-14T18:23:08.539047+00:00	0	1.88
2025-11-14T18:23:08.547081+00:00	-2	1.89
2025-11-14T18:23:08.555505+00:00	1	1.89
2025-11-14T18:23:08.563483+00:00	0	1.88
2025-11-14T18:23:08.571660+00:00	4	1.91
2025-11-14T18:23:08.579688+00:00	2	1.92
2025-11-14T18:23:08.588183+00:00	0	1.90
2025-11-14T18:23:08.596139+00:00	-3	1.92
2025-11-14T18:23:08.608488+00:00	-3	1.90
2025-11-14T18:23:08.616443+00:00	3	1.93
2025-11-14T18:23:08.624636+00:00	0	1.92
2025-11-14T18:23:08.632920+00:00	-1	1.93
2025-11-14T18:23:08.641021+00:00	0	1.92
2025-11-14T18:23:08.649230+00:00	2	1.92
2025-11-14T18:23:08.657410+00:00	4	1.94
2025-11-14T18:23:08.665596+00:00	-3	1.94
2025-11-14T18:23:08.673808+00:00	0	1.92
2025-11-14T18:23:08.686061+00:00	1	1.91
2025-11-14T18:23:08.694229+00:00	0	1.91
2025-11-14T18:23:08.702470+00:00	-1	1.91
2025-11-14T18:23:08.710688+00:00	0	1.91
2025-11-14T18:23:08.718872+00:00	3	1.93
2025-11-14T18:23:08.727032+00:00	0	1.93
2025-11-14T18:23:08.735236+00:00	-1	1.91
2025-11-14T18:23:08.743471+00:00	1	1.87
2025-11-14T18:23:08.751747+00:00	0	1.87
2025-11-14T18:23:08.763972+00:00	-4	1.90
2025-11-14T18:23:08.772146+00:00	0	1.90
2025-11-14T18:23:08.780327+00:00	1	1.89
2025-11-14T18:23:08.788868+00:00	0	1.89
2025-11-14T18:23:08.796727+00:00	0	1.89
